row_num,reference,cargo_ready_date,handling
108,CN2401101-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
114,CN2401107-AS,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
115,CN2401107-AS1,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
116,CN2401108-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
117,CN2401109-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
121,CN2401113-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
125,CN2401117-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
126,CN2401118-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
127,CN2401119-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
130,CN2401122-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
131,CN2401123-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
132,CN2401124-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
133,CN2401125-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
134,CN2401126-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
135,CN2401127-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
136,CN2401128-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
137,CN2401129-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
138,CN2401130-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
151,CN2401143-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
153,CN2401145-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
156,CN2401148-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
162,CN2401154-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
164,CN2401156-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
165,CN2401157-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
166,CN2401158-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
171,CN2401163-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
172,CN2401164-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
173,CN2401165-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
174,CN2401166-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
176,CN2401168-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
177,CN2401169-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
178,CN2401170-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
180,CN2401172-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
184,CN2401176-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
186,CN2401178-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
188,CN2401180-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
192,CN2401184-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
193,CN2401185-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
194,CN2401186-S1,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
195,CN2401186-S2,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
200,CN2401191-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
201,CN2401192-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
203,CN2401194-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
204,CN2401195-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
205,CN2401196-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
206,CN2401197-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
207,CN2401198-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
208,CN2401199-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
209,CN2401200-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
