row_num,reference,unit_raw,quantity,teu,container_codes,resolution,method
4625,CN2408165-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4626,CN2408165-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4627,CN2408165-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4661,CN2408194-S,20'GP/40'GP,2.0,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
4673,CN2408205-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4674,CN2408205-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4675,CN2408205-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4676,CN2408205-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4677,CN2408205-S5,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4678,CN2408206-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
4685,CN2408209-AS4,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
4686,CN2408209-AS5,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
4687,CN2408209-AS6,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
4689,CN2408211-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4690,CN2408211-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4691,CN2408211-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4692,CN2408211-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4717,CN2408234-S1,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
4718,CN2408234-S2,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
4719,CN2408234-S3,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
4720,CN2408234-S4,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
4723,CN2408237-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
4727,CN2408240-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4728,CN2408240-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4755,CN2408263-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
4778,CN2408284-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
4809,CN2408315-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
4812,CN2408318-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4813,CN2408318-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4814,CN2408318-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4815,CN2408318-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4882,CN2408377-S2,40'HQ/40'NOR,5.0,10,"40HQ,40GP","[('40HQ', 3), ('40GP', 2)]",equal
4906,CN2408401-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
4969,CN2408459-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
4988,CN2409003-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
5013,CN2409025-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
5043,CN2409051-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
5045,CN2409052-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5046,CN2409052-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5047,CN2409052-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5048,CN2409052-S5,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5049,CN2409052-S6,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5053,CN2409056-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
5074,CN2409076-S,20'FR/40'FR,,,"20FR,40FR","[('20FR', 1), ('40FR', 1)]",fallback
5108,CN2409110-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5109,CN2409110-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5110,CN2409110-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5111,CN2409110-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5112,CN2409110-S5,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5113,CN2409110-S6,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5127,CN2409124-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
5128,CN2409125-S,20'GP/40'GP,2.0,1,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",equal
5133,CN2409130-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
5146,CN2409142-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
5150,CN2409146-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5151,CN2409146-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5152,CN2409146-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5154,CN2409148-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
5157,CN2409151-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5158,CN2409151-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5159,CN2409151-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5160,CN2409151-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5161,CN2409151-S5,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5201,CN2409186-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
5203,CN2409188-S1,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
5206,CN2409190-S1,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
5207,CN2409190-S2,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
5208,CN2409190-S3,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
5209,CN2409190-S4,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
5210,CN2409190-S5,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
5211,CN2409190-S6,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
5227,CN2409206-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
5247,CN2409225-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
5251,CN2409229-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
5266,CN2409245-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
5270,CN2409249-S,20'GP/40'GP,4.0,7,"20GP,40GP","[('20GP', 1), ('40GP', 3)]",exact
5293,CN2409267-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5294,CN2409267-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5295,CN2409267-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5296,CN2409267-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5297,CN2409267-S5,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5298,CN2409267-S6,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5305,CN2409274-S,20'GP/40'GP,3.0,4,"20GP,40GP","[('20GP', 2), ('40GP', 1)]",exact
5307,CN2409276-S,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5330,CN2409299-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
5332,CN2409301-S1,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
5333,CN2409301-S2,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
5335,CN2409303-S,20'GP/40'HQ,3.0,5,"20GP,40HQ","[('20GP', 1), ('40HQ', 2)]",exact
5401,CN2409367-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5402,CN2409367-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5403,CN2409367-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5404,CN2409367-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5408,CN2409371-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
5426,CN2409388-S,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5427,CN2409388-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5464,CN2409422-S,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5469,CN2409427-S1,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
5470,CN2409427-S2,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
5473,CN2409430-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
5504,CN2409458-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5506,CN2409458-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5530,CN2410008-S,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5545,CN2410022-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
5576,CN2410052-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5577,CN2410052-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5578,CN2410052-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5579,CN2410052-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5580,CN2410052-S5,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5581,CN2410052-S6,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5628,CN2410097-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
5658,CN2410125-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
5674,CN2410138-S1,20'GP/40'HQ,3.0,5,"20GP,40HQ","[('20GP', 1), ('40HQ', 2)]",exact
5708,CN2410165-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5709,CN2410165-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5710,CN2410165-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5711,CN2410165-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5714,CN2410168-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5715,CN2410168-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5716,CN2410168-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5717,CN2410168-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5718,CN2410168-S5,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5719,CN2410168-S6,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5728,CN2410177-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
5731,CN2410180-S,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5760,CN2410206-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5761,CN2410206-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5764,CN2410208-S2,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
5769,CN2410211-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
5770,CN2410212-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
5791,CN2410232-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
5792,CN2410233-S,20'GP/40'GP/20 TANK,,,"20GP,40GP,20TANK","[('20GP', 1), ('40GP', 1), ('20TANK', 1)]",fallback
5808,CN2410249-S,40'GP/40'HQ,2.0,4,"40GP,40HQ","[('40GP', 1), ('40HQ', 1)]",equal
5812,CN2410253-S,20'GP/40;GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
5844,CN2410284-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
5879,CN2410319-S1,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
5880,CN2410319-S2,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
5911,CN2410349-S,40'HQ/40'GP,2.0,4,"40HQ,40GP","[('40HQ', 1), ('40GP', 1)]",equal
5912,CN2410350-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
5922,CN2410360-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5923,CN2410360-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5924,CN2410360-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5925,CN2410360-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5926,CN2410360-S5,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
5940,CN2410373-S,40'GP/40'HQ,1.0,2,"40GP,40HQ","[('40GP', 1), ('40HQ', 0)]",equal
5969,CN2410401-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
5998,CN2410429-S,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
6021,CN2410452-S1,20'GP/40'HQ/45'HQ,3.0,5,"20GP,40HQ,45HQ","[('20GP', 1), ('40HQ', 2), ('45HQ', 0)]",exact
6029,CN2410459-S,20'GP/40'GP,1.0,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
6053,CN2410482-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
6055,CN2410484-S,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
6103,CN2410532-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
6109,CN2410538-S,40'HQ/40'OT,30.0,60,"40HQ,40OT","[('40HQ', 15), ('40OT', 15)]",equal
6121,CN2411008-S1,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
6122,CN2411008-S2,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
6123,CN2411008-S3,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
6164,CN2411041-S1,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
6165,CN2411041-S2,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
6166,CN2411041-S3,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
6182,CN2411057-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
6209,CN2411081-S,20'OT/40'HQ,,,"20OT,40HQ","[('20OT', 1), ('40HQ', 1)]",fallback
6246,CN2411118-S,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
6255,CN2411127-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
6262,CN2411133-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
6305,CN2411174-S1,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
6306,CN2411174-S2,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
6307,CN2411174-S3,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
6308,CN2411174-S4,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
6326,CN2411192-S1,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
6327,CN2411192-S2,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
6328,CN2411192-S3,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
6336,CN2411197-S2,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
6344,CN2411205-S,20'GP/40'GP/40'HC,3.0,5,"20GP,40GP,40HC","[('20GP', 1), ('40GP', 0), ('40HC', 2)]",exact
6356,CN2411217-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
6363,CN2411224-S1,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
6364,CN2411224-S2,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
6365,CN2411224-S3,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
6366,CN2411224-S4,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
6367,CN2411224-S5,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
6368,CN2411224-S6,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
6369,CN2411224-S7,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
6370,CN2411224-S8,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
6371,CN2411224-S9,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
6436,CN2411285-S1,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
6437,CN2411285-S2,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
6447,CN2411295-S,20'GP/40'HC,2.0,3,"20GP,40HC","[('20GP', 1), ('40HC', 1)]",exact
6449,CN2411297-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
6463,CN2411311-S,40'GP/40'HQ,2.0,4,"40GP,40HQ","[('40GP', 1), ('40HQ', 1)]",equal
6474,CN2411321-S,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
6484,CN2411327-S1,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
6540,CN2411378-S,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
6547,CN2411385-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
6595,CN2411432-S1,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
6596,CN2411432-S2,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
6605,CN2411440-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
6674,CN2411497-S,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
6889,CN2412103-S2,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
6894,CN2412108-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
6906,CN2412119-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
6920,CN2412132-S1,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
6921,CN2412132-S2,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
6922,CN2412132-S3,20'GP/40'GP/40'HQ,3.0,5,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 0), ('40HQ', 2)]",exact
