row_num,reference,unit_raw,quantity,teu,container_codes,resolution,method
2622,CN2405043-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
2623,CN2405043-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
2624,CN2405043-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
2634,CN2405053-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
2635,CN2405053-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
2637,CN2405055-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
2638,CN2405055-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
2639,CN2405055-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
2640,CN2405055-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
2641,CN2405055-S5,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
2642,CN2405055-S6,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
2715,CN2405126-S,40'GP/40'HQ,2.0,4,"40GP,40HQ","[('40GP', 1), ('40HQ', 1)]",equal
2725,CN2405136-S,20'GP/40'GP,2.0,3,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",exact
2777,CN2405186-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
2806,CN2405213-S1,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
2807,CN2405213-S2,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
2808,CN2405213-S3,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
2809,CN2405213-S4,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
2817,CN2405219-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
2819,CN2405221-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
2820,CN2405221-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
