SEA port code													AIR port code						
Country	/	port name	/	Display name	/	port code							Country		port name		Display name		port code
Brazil	/	Navegantes	/	Navegantes, Brazil	/	BRNVT							China	/	Zhangjiajie Hehua International Airport	/	DYG - Zhangjiajie Hehua International Airport, China	/	DYG
Brazil	/	Paranagua	/	Paranagua, Brazil	/	BRPNG							China	/	Zhengzhou Xinzheng International Airport	/	CGO - Zhengzhou Xinzheng International Airport, China	/	CGO
Brazil	/	Pecém	/	Pecém, Brazil	/	BRPEC 							Congo	/	N’djili International Airport,Kinshasa	/	FIH - N’djili International Airport,Kinshasa, Congo	/	FIH
Brazil	/	Rio Grande	/	Rio Grande, Brazil	/	BRRIG							Costa Rica	/	Arenal, Fortuna Airport	/	FON - Arenal, Fortuna Airport, Costa Rica	/	FON
Brazil	/	Santos	/	Santos, Brazil	/	BRSSZ							Cyprus	/	Larnaka International Airport	/	LCA - Larnaka International Airport, Cyprus	/	LCA
Brazil	/	Suape	/	Suape, Brazil	/	BRSUA							Denmark	/	Aarhus Airport	/	AAR - Aarhus Airport, Denmark	/	AAR
Brazil	/	Vitoria	/	Vitoria, Brazil	/	BRVIT							Denmark	/	Billund Airport	/	BLL - Billund Airport, Denmark	/	BLL
Brunei	/	Maura	/	Maura, Brunei	/	BNMUA 							Egypt	/	Cairo International Airport	/	CAI - Cairo International Airport, Egypt	/	CAI
Bulgaria	/	Sofia	/	Sofia, Bulgaria	/	BGSOF 							El Salvador	/	El Salvador International Airport	/	SAL - El Salvador International Airport, El Salvador	/	SAL
Bulgaria	/	Varna	/	Varna, Bulgaria	/	BGVAR							France	/	Bordeaux Airport 	/	BOD - Bordeaux Airport , France	/	BOD
Burkina Faso	/	Ouagadougou	/	Ouagadougou, Burkina Faso	/	BFOUA							France	/	Caen – Carpiquet Airport	/	CFR - Caen – Carpiquet Airport, France	/	CFR
Cambodia	/	Sihanoukville	/	Sihanoukville, Cambodia	/	KHKOS							France	/	Frankfurt Airport	/	FRA - Frankfurt Airport, France	/	FRA
Cameroon	/	Douala	/	Douala, Cameroon	/	CMDLA							France	/	Lille Airport	/	LIL - Lille Airport, France	/	LIL
Canada	/	Armstrong	/	Armstrong, Canada	/	CAARM							France	/	Heathrow Airport,London 	/	LHR - Heathrow Airport,London , France	/	LHR
Canada	/	Calgary	/	Calgary, Canada	/	CACAL							France	/	Lyon Airport	/	LYS - Lyon Airport, France	/	LYS
Canada	/	Edmonton Alberta	/	Edmonton Alberta, Canada	/	CAEDM							France	/	Manchester Airport	/	MAN - Manchester Airport, France	/	MAN
Canada	/	Halifax	/	Halifax, Canada	/	CAHAL							France	/	Marseille Provence Airport	/	MRS - Marseille Provence Airport, France	/	MRS
Canada	/	Montreal	/	Montreal, Canada	/	CAMTR							France	/	Martinique Aime Cesaire International Airport	/	FDF - Martinique Aime Cesaire International Airport, France	/	FDF
Canada	/	Regina Saskatchewan	/	Regina Saskatchewan, Canada	/	CAREG							France	/	Mulhouse Airport	/	MLH  - Mulhouse Airport, France	/	MLH 
Canada	/	Saskatoon, Sk	/	Saskatoon, Sk, Canada	/	CASAK							France	/	Nantes Atlantique Airport	/	NTE - Nantes Atlantique Airport, France	/	NTE
Canada	/	Tornoto	/	Tornoto, Canada	/	CATOR							France	/	Paris Charles de Gaulle Airport	/	CDG - Paris Charles de Gaulle Airport, France	/	CDG
Canada	/	Vancouver	/	Vancouver, Canada	/	CAVAN							France	/	Pointe A Pitre International Airport	/	PTP - Pointe A Pitre International Airport, France	/	PTP
Canada	/	Winnipeg	/	Winnipeg, Canada	/	CAWNP							France	/	Strasbourg Airport	/	SXB - Strasbourg Airport, France	/	SXB
Chile	/	Arica	/	Arica, Chile	/	CLARI							France	/	Toulouse-Blagnac Airport	/	TLS - Toulouse-Blagnac Airport, France	/	TLS
Chile	/	Iquique	/	Iquique, Chile	/	CLIQU							Gabon	/	Leon-Mba Libreville International Airport	/	LBV - Leon-Mba Libreville International Airport, Gabon	/	LBV
Chile	/	San Antonio	/	San Antonio, Chile	/	CLSAN							Germany	/	Berlin Brandenburg Airport	/	BER - Berlin Brandenburg Airport, Germany	/	BER
Chile	/	Santiago	/	Santiago, Chile	/	SANCL							Germany	/	Duesseldorf Airport	/	DUS - Duesseldorf Airport, Germany	/	DUS
Chile	/	Valparaiso	/	Valparaiso, Chile	/	CLVAP							Germany	/	Hamburg Airport	/	HAM - Hamburg Airport, Germany	/	HAM
China	/	Baoji	/	Baoji, China	/	CNBOJ							Germany	/	Munich International Airport	/	MUC - Munich International Airport, Germany	/	MUC
China	/	Beijing	/	Beijing, China	/	CNBJS 							Germany	/	Nuremberg Airport	/	NUE - Nuremberg Airport, Germany	/	NUE
China	/	Bengbu	/	Bengbu, China	/	CNBBU							Ghana	/	Kotoka International Airport - Accra	/	ACC - Kotoka International Airport - Accra, Ghana	/	ACC
China	/	Changsha	/	Changsha, China	/	CNCSH							Greece	/	Athens International Airport Eleftherios Venizelos	/	ATH - Athens International Airport Eleftherios Venizelos, Greece	/	ATH
China	/	Changzhou	/	Changzhou, China	/	CNCZX							India	/	Rajiv Gandhi International Airport, Hyderabad	/	HYD - Rajiv Gandhi International Airport, Hyderabad, India	/	HYD
China	/	Chengdu	/	Chengdu, China	/	CNCTU							India	/	Indira Gandhi International Airport, New Delhi	/	DEL - Indira Gandhi International Airport, New Delhi, India	/	DEL
China	/	Chongqing	/	Chongqing, China	/	CNCQI 							Indonesia	/	Soekarno – Hatta International Airport,  Jakarta 	/	CGK - Soekarno – Hatta International Airport,  Jakarta , Indonesia	/	CGK
China	/	Dalian	/	Dalian, China	/	CNDLC							Indonesia	/	Surabaya Juanda International Airport	/	SUB - Surabaya Juanda International Airport, Indonesia	/	SUB
China	/	Dongguan	/	Dongguan, China	/	CNDGG							Italy	/	Bologna Guglielmo Marconi Airport	/	BLQ - Bologna Guglielmo Marconi Airport, Italy	/	BLQ
China	/	Foshan	/	Foshan, China	/	CNFOS							Italy	/	Leonardo da Vinci International Airport, Rome Fiumicino	/	FCO - Leonardo da Vinci International Airport, Rome Fiumicino, Italy	/	FCO
China	/	Gaoming	/	Gaoming, China	/	CNGOM							Italy	/	Milano Malpensa Airport	/	MXP - Milano Malpensa Airport, Italy	/	MXP
China	/	Guangzhou	/	Guangzhou, China	/	CNCAN							Italy	/	Venice Marco Polo Airport	/	VCE - Venice Marco Polo Airport, Italy	/	VCE
China	/	Haikou	/	Haikou, China	/	CNHAK							Japan	/	Kansai International Airport	/	KIX - Kansai International Airport, Japan	/	KIX
China	/	Handan	/	Handan, China	/	CNHDS							Kazakhstan	/	Almaty International Airport	/	ALA - Almaty International Airport, Kazakhstan	/	ALA
China	/	Hangzhou	/	Hangzhou, China	/	CNHGH							Korea	/	Seoul Incheon International Airport, 	/	ICN - Seoul Incheon International Airport, , Korea	/	ICN
China	/	Hefei	/	Hefei, China	/	CNHFI 							Kosovo	/	Prishtina International Airport, Kosovo	/	PRN - Prishtina International Airport, Kosovo, Kosovo	/	PRN
China	/	Huangpu	/	Huangpu, China	/	CNHUA							Kuwait	/	Kuwait International Airport	/	KWI - Kuwait International Airport, Kuwait	/	KWI
China	/	Huizhou	/	Huizhou, China	/	CNHUI							Latvia	/	Riga International Airport	/	RIX - Riga International Airport, Latvia	/	RIX
China	/	Jinan	/	Jinan, China	/	CNJNA							Lebanon	/	Beirut–Rafic Hariri International Airport 	/	BEY - Beirut–Rafic Hariri International Airport , Lebanon	/	BEY
China	/	Kunshan	/	Kunshan, China	/	CNKUS							Libya	/	Tripoli International airport	/	TIP - Tripoli International airport, Libya	/	TIP
China	/	Lishui	/	Lishui, China	/	CNLSS							Macau	/	Macau International Airport	/	MFM - Macau International Airport, Macau	/	MFM
China	/	Longkou	/	Longkou, China	/	CNLKU							Mexico	/	Felipe Angeles International Airport.	/	NLU - Felipe Angeles International Airport., Mexico	/	NLU
China	/	Nanjing	/	Nanjing, China	/	CNNKG							Mexico	/	Aeropuerto Internacional Benito Juarez, mexico city	/	MEX - Aeropuerto Internacional Benito Juarez, mexico city, Mexico	/	MEX
China	/	Nansha	/	Nansha, China	/	CNNSA							Mongolia	/	Chinggis Khaan International Airport, Ulaanbaatar	/	UBN - Chinggis Khaan International Airport, Ulaanbaatar, Mongolia	/	UBN
China	/	Nantong	/	Nantong, China	/	CNNTG							Morocco	/	Casablanca Mohammed V International Airport	/	CMN - Casablanca Mohammed V International Airport, Morocco	/	CMN
China	/	Neijiang	/	Neijiang, China	/	CNNIJ							Morocco	/	Tangier Ibn Battouta Airport 	/	TNG - Tangier Ibn Battouta Airport , Morocco	/	TNG
China	/	Ningbo	/	Ningbo, China	/	CNNBG							Netherlands	/	Amsterdam Airport Schiphol	/	AMS - Amsterdam Airport Schiphol, Netherlands	/	AMS
China	/	Qidong	/	Qidong, China	/	CNQID							New Zealand	/	Auckland Airport	/	AKL - Auckland Airport, New Zealand	/	AKL
China	/	Qingdao	/	Qingdao, China	/	CNTAO 							New Zealand	/	Christchurch Airport	/	CHC - Christchurch Airport, New Zealand	/	CHC
China	/	Quanzhou	/	Quanzhou, China	/	CNQZJ							Nigeria	/	Murtala Muhammed International Airport, Lagos	/	LOS - Murtala Muhammed International Airport, Lagos, Nigeria	/	LOS
China	/	Rizhao	/	Rizhao, China	/	CNRZH							Norway	/	Oslo Airport	/	OSL - Oslo Airport, Norway	/	OSL
China	/	Shanghai	/	Shanghai, China	/	CNSHG							Pakistan	/	Allama Iqbal International Airport	/	LHE - Allama Iqbal International Airport, Pakistan	/	LHE
China	/	Shantou	/	Shantou, China	/	CNSWA							Pakistan	/	Islamabad International Airport	/	ISB - Islamabad International Airport, Pakistan	/	ISB
China	/	Shekou	/	Shekou, China	/	CNSHK							Pakistan	/	Jinnah International Airport, Karachi	/	KHI - Jinnah International Airport, Karachi, Pakistan	/	KHI
China	/	Shenyang	/	Shenyang, China	/	CNSHY 							Pakistan	/	Sialkot International Airport	/	SKT - Sialkot International Airport, Pakistan	/	SKT
China	/	Shenzhen	/	Shenzhen, China	/	CNSZX							Panama	/	Panama Tocumen International Airport	/	PTY - Panama Tocumen International Airport, Panama	/	PTY
China	/	Suzhou	/	Suzhou, China	/	CNSZH							Papua New Guinea	/	Port Moresby International (Jacksons) Airport	/	POM - Port Moresby International (Jacksons) Airport, Papua New Guinea	/	POM
China	/	Taicang	/	Taicang, China	/	CNTAC							Papua New Guinea	/	Momote Airport	/	MAS - Momote Airport, Papua New Guinea	/	MAS
China	/	Taishan	/	Taishan, China	/	CNTIS							Papua New Guinea	/	Tsile Tsile Airport	/	TSI - Tsile Tsile Airport, Papua New Guinea	/	TSI
China	/	Taizhou	/	Taizhou, China	/	CNTAZ							Peru	/	New Jorge Chávez International Airport, Lima	/	LIM - New Jorge Chávez International Airport, Lima, Peru	/	LIM
China	/	Weifang	/	Weifang, China	/	CNWEF							Poland	/	Gdansk airport	/	GDN - Gdansk airport, Poland	/	GDN
China	/	Weihai	/	Weihai, China	/	CNWEI							Poland	/	Warsaw Chopin Airport	/	WAW - Warsaw Chopin Airport, Poland	/	WAW
China	/	Wenling	/	Wenling, China	/	CNWEN							Portugal	/	Lisbon Humberto Delgado Airport	/	LIS - Lisbon Humberto Delgado Airport, Portugal	/	LIS
China	/	Wenzhou	/	Wenzhou, China	/	CNWNZ							Portugal	/	Porto Airport	/	OPO - Porto Airport, Portugal	/	OPO
China	/	Wuhan	/	Wuhan, China	/	CNWUH							Qatar	/	Hamad International Airport	/	DOH - Hamad International Airport, Qatar	/	DOH
China	/	Wuxi	/	Wuxi, China	/	CNWXS							Reunion	/	Saint-Denis - Roland Garros Airport	/	RUN - Saint-Denis - Roland Garros Airport, Reunion	/	RUN
China	/	Xiamen	/	Xiamen, China	/	CNXMN 							Saudi Arabia	/	King Abdulaziz International Airport	/	JED - King Abdulaziz International Airport, Saudi Arabia	/	JED
China	/	Xian	/	Xian, China	/	CNSIA 							Saudi Arabia	/	King Fahd International Airport	/	DMM - King Fahd International Airport, Saudi Arabia	/	DMM
China	/	Xingang,Tianjin	/	Xingang,Tianjin, China	/	CNTXG							Saudi Arabia	/	King Khalid International Airport	/	RUH - King Khalid International Airport, Saudi Arabia	/	RUH
China	/	Yangpu	/	Yangpu, China	/	CNYGP							Senegal	/	Blaise Diagne International Airport	/	DSS - Blaise Diagne International Airport, Senegal	/	DSS
China	/	Yantai	/	Yantai, China	/	CNYNT							Seychelles	/	Seychelles International Airport	/	SEZ - Seychelles International Airport, Seychelles	/	SEZ
China	/	Yantian	/	Yantian, China	/	CNYTN							Slovenia	/	Ljubljana Airport	/	LJU - Ljubljana Airport, Slovenia	/	LJU
China	/	Yichang	/	Yichang, China	/	CNYIC							Somalia	/	Aden Adde International Airport	/	MGQ - Aden Adde International Airport, Somalia	/	MGQ
China	/	Yuhuan	/	Yuhuan, China	/	CNYUH							South Africa	/	Cape Town International Airport	/	CPT - Cape Town International Airport, South Africa	/	CPT
China	/	Zhangjiakou	/	Zhangjiakou, China	/	CNZJK							South Africa	/	King Shaka International Airport	/	DUR - King Shaka International Airport, South Africa	/	DUR
China	/	Zhangzhou	/	Zhangzhou, China	/	CNZZU							South Africa	/	OR Tambo International Airport	/	JNB - OR Tambo International Airport, South Africa	/	JNB
China	/	Zhaoqing	/	Zhaoqing, China	/	CNZQG							South Sudan	/	Juba International Airport	/	JUB - Juba International Airport, South Sudan	/	JUB
China	/	Zhengzhou	/	Zhengzhou, China	/	CNCGZ 							Spain	/	Barcelona Airport	/	BCN - Barcelona Airport, Spain	/	BCN
China	/	Zhongshan	/	Zhongshan, China	/	CNZSN							Spain	/	Cordoba Airport 	/	ODB - Cordoba Airport , Spain	/	ODB
China	/	Zhucheng	/	Zhucheng, China	/	CNZCH							Spain	/	Gran Canaria Airport, Las Palmas	/	LPA - Gran Canaria Airport, Las Palmas, Spain	/	LPA
China	/	Zhuhai	/	Zhuhai, China	/	CNZUH							Spain	/	Adolfo Suarez Madrid-Barajas Airport, Madrid	/	MAD - Adolfo Suarez Madrid-Barajas Airport, Madrid, Spain	/	MAD
China	/	Zhuji	/	Zhuji, China	/	CNZHJ							Sri Lanka	/	Colombo Bandaranaike International Airport	/	CMB - Colombo Bandaranaike International Airport, Sri Lanka	/	CMB
China	/	Zibo	/	Zibo, China	/	CNZBO							Sweden	/	Malmo Airport	/	MMX - Malmo Airport, Sweden	/	MMX
Colombia	/	Buenaventura	/	Buenaventura, Colombia	/	COBUN							Sweden	/	Stockholm Arlanda Airport	/	ARN - Stockholm Arlanda Airport, Sweden	/	ARN
Colombia	/	Buenventura	/	Buenventura, Colombia	/	COBUN							Switzerland	/	Basel Airport	/	BSL - Basel Airport, Switzerland	/	BSL
Congo	/	Lubumbashi	/	Lubumbashi, Congo	/	CDLUB							Switzerland	/	Geneva Airport	/	GVA - Geneva Airport, Switzerland	/	GVA
Congo	/	Lusanga	/	Lusanga, Congo	/	CDLUS							Switzerland	/	Zurich Airport	/	ZRH - Zurich Airport, Switzerland	/	ZRH
Congo	/	Matadi	/	Matadi, Congo	/	CDMAT							Taiwan	/	Taiwan Taoyuan International Airport	/	TPE - Taiwan Taoyuan International Airport, Taiwan	/	TPE
Congo	/	Pointe Noire	/	Pointe Noire, Congo	/	CGPNR							Tanzania	/	Julius Nyerere International Airport, Dar es Salaam	/	DAR - Julius Nyerere International Airport, Dar es Salaam, Tanzania	/	DAR
Costa Rica	/	Puerto Caldera	/	Puerto Caldera, Costa Rica	/	CRCAL							Thailand	/	Suvarnabhumi Airport, Bangkok	/	BKK - Suvarnabhumi Airport, Bangkok, Thailand	/	BKK
Côte D’Ivoire	/	Abidjan	/	Abidjan, Côte D’Ivoire	/	CIABJ							Togo	/	Lome - Tokoin International Airport	/	LFW - Lome - Tokoin International Airport, Togo	/	LFW
Croatia	/	Rijeka	/	Rijeka, Croatia	/	HRRJK							Trinidad and Tobago	/	Piarco International Airport	/	POS - Piarco International Airport, Trinidad and Tobago	/	POS
Cuba	/	Mariel	/	Mariel, Cuba	/	CUMAR							Tunisia	/	Tunis - Carthage International Airport	/	TUN - Tunis - Carthage International Airport, Tunisia	/	TUN
Cyprus	/	Famagusta	/	Famagusta, Cyprus	/	CYFMG							Turkey	/	Istanbul Airport	/	IST - Istanbul Airport, Turkey	/	IST
Cyprus	/	Limassol	/	Limassol, Cyprus	/	CYLMS							United Arab Emirates	/	Abu Dhabi (Zayed) International Airport	/	AUH - Abu Dhabi (Zayed) International Airport, United Arab Emirates	/	AUH
Czech Republic	/	Prague	/	Prague, Czech Republic	/	CZPRG							United Arab Emirates	/	Dubai International Airport	/	DXB - Dubai International Airport, United Arab Emirates	/	DXB
Denmark	/	Aarhus	/	Aarhus, Denmark	/	DKAAR							United Arab Emirates	/	Al Maktoum International Airport, Jebel Ali	/	DWC - Al Maktoum International Airport, Jebel Ali, United Arab Emirates	/	DWC
Denmark	/	Fredericia	/	Fredericia, Denmark	/	DKFRC							United Arab Emirates	/	Dublin Airport 	/	DUB - Dublin Airport , United Arab Emirates	/	DUB
Denmark	/	Haslev	/	Haslev, Denmark	/	DKHSV							Uganda	/	Entebbe International Airport	/	EBB - Entebbe International Airport, Uganda	/	EBB
Djibouti	/	Djibouti	/	Djibouti, Djibouti	/	DJJIB							UK	/	Belfast International Airport	/	BFS - Belfast International Airport, UK	/	BFS
Dominican	/	Caucedo	/	Caucedo, Dominican	/	DOCAU							UK	/	Birmingham Airport	/	BHX - Birmingham Airport, UK	/	BHX
Dominican	/	Rousseau	/	Rousseau, Dominican	/	DMRSU							UK	/	Glasgow Airport	/	GLA - Glasgow Airport, UK	/	GLA
Ecuador	/	Guayaquil	/	Guayaquil, Ecuador	/	ECGYE							UK	/	Liverpool John Lennon Airport	/	LPL - Liverpool John Lennon Airport, UK	/	LPL
Egypt	/	Alexandria	/	Alexandria, Egypt	/	EGALY							USA	/	Hartsfield - Jackson Atlanta International Airport	/	ATL - Hartsfield - Jackson Atlanta International Airport, USA	/	ATL
Egypt	/	El Dekheila	/	El Dekheila, Egypt	/	EGEDK							USA	/	Baltimore/Washington International Thurgood Marshall Airport	/	BWI - Baltimore/Washington International Thurgood Marshall Airport, USA	/	BWI
Egypt	/	Pireaus	/	Pireaus, Egypt	/	GRPIR							USA	/	Charlotte Douglas International Airport	/	CLT - Charlotte Douglas International Airport, USA	/	CLT
Egypt	/	Sokhna	/	Sokhna, Egypt	/	EGSOK							USA	/	Columbia Metropolitan Airport	/	CAE - Columbia Metropolitan Airport, USA	/	CAE
El Salvador	/	Acajutla	/	Acajutla, El Salvador	/	SVAQJ							Venezuela	/	Simon Bolívar International Airport, Caracas	/	CCS - Simon Bolívar International Airport, Caracas, Venezuela	/	CCS
Estonia	/	Saarepera	/	Saarepera, Estonia	/	EESRA							Vietnam	/	Noi Bai International Airport, Hanoi	/	HAN - Noi Bai International Airport, Hanoi, Vietnam	/	HAN
Estonia	/	Tallinn	/	Tallinn, Estonia	/	EETLL							Kenya	/	Jomo Kenyatta International Airport, Nairobi	/	NBO - Jomo Kenyatta International Airport, Nairobi, Kenya	/	NBO
Fiji	/	Lautoka	/	Lautoka, Fiji	/	FJLTK													
Finland	/	Hamina	/	Hamina, Finland	/	FIHMN													
Finland	/	Helsinki	/	Helsinki, Finland	/	FIHEL													
Finland	/	Kotka	/	Kotka, Finland	/	FIKTK													
France	/	Danjoutin	/	Danjoutin, France	/	FRDJW													
France	/	Dunkerque	/	Dunkerque, France	/	FRDKK													
France	/	Dunkirk	/	Dunkirk, France	/	FRDKK													
France	/	Fos Sur Mer	/	Fos Sur Mer, France	/	FRFOS													
France	/	Frankfurt	/	Frankfurt, France	/	DEFRA													
France	/	Le Havre	/	Le Havre, France	/	FRLEH													
